id,annual_risk,hourly_wage,age,sex,race,work_experience,union,blue_collar
1205,0.001500000013038516,6.354609966278076,49,1,1,1,1,1
1206,0.0010000000474974513,12.295082092285156,40,1,1,1,0,0
1329,2.500000118743628e-4,8.588652610778809,60,1,1,1,1,1
1344,0.0010000000474974513,5.327868938446045,54,1,1,1,0,1
1352,0.0012499999720603228,9.368852615356445,43,1,1,1,1,1
1359,0.0010000000474974513,7.340425968170166,30,1,1,0,0,1
1388,5.000000237487257e-4,11.347517967224121,51,1,1,1,1,1
1402,0.001500000013038516,9.219858169555664,30,1,1,1,0,1
1405,0.0010000000474974513,7.092198848724365,62,1,1,1,1,1
1409,2.500000118743628e-4,8.794325828552246,58,1,1,1,0,1
1420,0.0010000000474974513,5.5081963539123535,44,1,1,0,0,0
1438,2.500000118743628e-4,6.390071392059326,33,0,1,1,0,1
1541,2.500000118743628e-4,4.787234306335449,33,1,1,0,0,0
1596,2.500000118743628e-4,9.929078102111816,43,1,1,1,1,1
1623,0.0012499999720603228,6.879432678222656,30,1,1,1,1,1
1631,2.500000118743628e-4,6.929078578948975,30,0,1,1,0,0
1639,2.500000118743628e-4,4.609929084777832,27,0,1,0,0,1
1652,0.0010000000474974513,3.5655736923217773,32,0,1,1,0,0
1673,0.0020000000949949026,13.680851936340332,37,1,1,1,1,1
1677,5.000000237487257e-4,4.539007186889648,20,1,1,0,0,1
1680,5.000000237487257e-4,6.516393184661865,42,1,1,1,1,1
1685,2.500000118743628e-4,8.865248680114746,39,1,1,1,1,1
1701,2.500000118743628e-4,9.7295074462890625,58,1,1,1,1,1
1716,2.500000118743628e-4,7.418439865112305,25,0,1,1,0,0
1719,0.0022499999031424522,7.967213153839111,24,1,1,1,1,1
1736,7.50000006519258e-4,7.744680881500244,63,1,1,1,1,1
1786,0.0012499999720603228,5.819672107696533,30,1,1,1,1,1
1789,0.0010000000474974513,10.286885261535645,39,1,1,0,0,1
1801,8.750000270083547e-4,7.092198848724365,38,1,1,1,1,1
1847,0.0020000000949949026,12.829999923706055,31,1,1,0,1,1
1854,0.0010000000474974513,4.700854778289795,30,1,1,1,0,0
1881,0.0010000000474974513,9.085470199584961,64,1,1,1,0,1
1897,2.500000118743628e-4,6.837606906890869,41,1,1,1,0,1
1917,2.500000118743628e-4,1.9230769872665405,43,0,1,1,0,1
1920,7.50000006519258e-4,12.435897827148438,47,1,1,1,0,1
1931,7.50000006519258e-4,10.085470199584961,50,1,0,1,1,1
1940,0.0012499999720603228,11.550000190734863,50,1,1,0,1,1
1966,5.000000237487257e-4,10.210000038146973,31,1,1,1,1,1
1969,0.0010000000474974513,8.770000457763672,39,1,1,0,0,1
2015,2.500000118743628e-4,4.5,23,1,1,1,0,1
2042,5.000000237487257e-4,10.90999984741211,62,1,1,1,1,1
2045,5.000000237487257e-4,6.564102649688721,31,1,1,1,0,1
2046,7.50000006519258e-4,6.239999771118164,24,1,1,1,0,1
2051,2.500000118743628e-4,6.888889312744141,44,0,1,1,0,1
2061,5.000000237487257e-4,7.094017505645752,64,1,1,1,0,1
2069,0.0020000000949949026,11.600000381469727,44,1,1,1,0,1
2078,5.000000237487257e-4,11.111111640930176,54,1,1,0,1,1
2080,5.000000237487257e-4,12.449999809265137,38,1,1,1,1,1
2090,9.172499994747341e-4,11.111111640930176,47,1,1,1,1,1
2098,0.0020000000949949026,12.949999809265137,51,1,1,1,1,1
2171,5.000000237487257e-4,4,40,1,1,1,0,1
2182,7.50000006519258e-4,11.461538314819336,39,1,1,1,1,1
2215,2.500000118743628e-4,11.111111640930176,28,1,1,0,0,0
2258,2.500000118743628e-4,6.837606906890869,53,1,1,1,0,0
2279,2.500000118743628e-4,5.4273505210876465,25,0,1,1,0,1
2311,0.001105999923311174,7.099999904632568,46,1,0,0,1,1
2312,7.50000006519258e-4,9.039999961853027,48,1,1,1,1,1
2324,0.0012499999720603228,11.9399995803833,53,1,1,1,1,1
2345,2.500000118743628e-4,2.9487180709838867,27,0,0,1,0,1
2365,2.500000118743628e-4,9.743589401245117,41,1,0,0,1,1
2370,5.000000237487257e-4,3.846153974533081,24,0,1,1,0,1
2380,7.50000006519258e-4,5.900000095367432,48,1,1,1,0,1
2381,0.0012499999720603228,6.5,29,1,1,1,0,1
2406,0.001500000013038516,9.35897445678711,60,1,1,1,1,1
2415,2.500000118743628e-4,8.59000015258789,54,1,1,0,1,1
2422,2.500000118743628e-4,4.700854778289795,44,0,1,1,0,1
2423,2.500000118743628e-4,5.726495742797852,41,0,1,1,0,0
2487,2.500000118743628e-4,4.151515007019043,64,1,1,0,1,1
2488,7.50000006519258e-4,17.407079696655273,24,1,1,1,0,1
2512,0.001500000013038516,11.272727012634277,52,1,1,1,1,1
2521,2.500000118743628e-4,8.621212005615234,32,0,1,1,1,1
2526,7.50000006519258e-4,9.469696998596191,46,1,1,1,1,1
2542,7.50000006519258e-4,10.984848022460938,35,1,1,1,1,1
2578,7.50000006519258e-4,6.439393520355225,48,1,1,1,0,1
2594,7.50000006519258e-4,6.666666507720947,35,1,1,1,1,1
